岁	suì	1	classifier for years (of age); year; year (of crop harvests)
艰巨	jiānjù	5	arduous; terrible (task); very difficult; formidable
坚决	jiānjué	5	firm; resolute; determined
艰苦	jiānkǔ	5	difficult; hard; arduous
建立	jiànlì	5	to establish; to set up; to found
简历	jiǎnlì	5	curriculum vitae (CV); résumé; biographical notes
键盘	jiànpán	5	keyboard
坚强	jiānqiáng	5	staunch; strong
尖锐	jiānruì	5	sharp; intense; penetrating; pointed
建设	jiànshè	5	to build; to construct; to establish; to develop; to institute
健身房	jiànshēnfáng	5	gym; gymnasium
建议	jiànyì	5	to propose; to suggest; to recommend; proposal; suggestion; recommendation
简直	jiǎnzhí	5	simply; really
建筑	jiànzhù	5	to construct; building
浇	jiāo	5	to pour liquid; to irrigate (using waterwheel); to water; to cast (molten metal)
教材	jiàocái	5	teaching material
角度	jiǎodù	5	angle; point of view
狡猾	jiǎohuá	5	crafty; cunning; sly
交换	jiāohuàn	5	to exchange; to swap; to switch (telecom); commutative (math)
交际	jiāojì	5	communication; social intercourse
教练	jiàoliàn	5	instructor; sports coach; trainer
郊区	jiāoqū	5	suburban district; outskirts; suburbs
胶水	jiāoshuǐ	5	glue
教训	jiàoxun	5	to provide guidance; to lecture sb; to upbraid; a talking-to
假如	jiǎrú	5	if
驾驶	jiàshǐ	5	to pilot (ship, airplane etc); to drive
家庭	jiātíng	5	family; household
家务	jiāwù	5	household duties; housework
家乡	jiāxiāng	5	hometown; native place
价值	jiàzhí	5	value; worth; fig. values (ethical, cultural etc)
假装	jiǎzhuāng	5	to feign; to pretend
夹子	jiāzi	5	clip; clamp; tongs; folder
基本	jīběn	5	basic; fundamental; main; elementary
节	jié	5	joint; node; (bound form) section; segment; solar term (one of the 24 divisions of the year in the traditional Chinese calendar); seasonal festival
届	jiè	5	to arrive at (place or time); period; to become due; classifier for events, meetings, elections, sporting fixtures, years (of graduation)
接触	jiēchù	5	to touch; to contact; access; in touch with
接待	jiēdài	5	to receive (a visitor); to admit (allow sb to enter)
阶段	jiēduàn	5	stage; section; phase; period
解放	jiěfàng	5	to liberate; to emancipate; liberation; refers to the Communists' victory over the Nationalists in 1949
结构	jiégòu	5	structure; composition; makeup; architecture
结合	jiéhé	5	to combine; to link; to integrate; binding
接近	jiējìn	5	to approach; to get close to
借口	jièkǒu	5	to use as an excuse; excuse; pretext
结论	jiélùn	5	conclusion; verdict; to conclude; to reach a verdict
节省	jiéshěng	5	saving; to save; to use sparingly; to cut down on
结实	jiēshi	5	rugged; sturdy; strong; durable
解说员	jiěshuōyuán	5	commentator
戒烟	jièyān	5	to give up smoking
结账	jiézhàng	5	to pay the bill; to settle accounts; also written 结帐
接着	jiēzhe	5	to catch and hold on; to continue; to go on to do sth; to follow
戒指	jièzhi	5	(finger) ring
及格	jígé	5	to pass an exam or a test; to meet a minimum standard
激烈	jīliè	5	(of competition or fighting) intense; fierce; (of pain) acute; (of an expression of opinion) impassioned
记录	jìlù	5	to record; record (written account); note-taker; record (in sports etc)
纪录	jìlù	5	variant of 记录 (but in Taiwan, not for the verb sense "to record")
纪律	jìlǜ	5	discipline
急忙	jímáng	5	hastily
寂寞	jìmò	5	lonely; lonesome; (of a place) quiet; silent
紧	jǐn	5	tight; strict; close at hand; near
进步	jìnbù	5	progress; improvement; to improve; to progress
近代	jìndài	5	the not-very-distant past; modern times, excluding recent decades; (in the context of Chinese history) the period from the Opium Wars until the May 4th Movement (mid-19th century to 1919); capitalist times (pre-1949)
敬爱	jìngài	5	to respect and love; to hold in high esteem
经典	jīngdiǎn	5	the classics; scriptures; classical; classic (example, case etc)
精力	jīnglì	5	energy
景色	jǐngsè	5	scenery; scene; landscape; view
经营	jīngyíng	5	to engage in (business etc); to run; to operate
纪念	jìniàn	5	to commemorate; to honor the memory of; memento; keepsake; souvenir
紧急	jǐnjí	5	urgent; emergency
进口	jìnkǒu	5	to import; imported; entrance; inlet (for the intake of air, water etc)
尽力	jìnlì	5	to strive one's hardest; to spare no effort
尽量	jìnliàng	5	as much as possible; to the greatest extent
谨慎	jǐnshèn	5	cautious; prudent
金属	jīnshǔ	5	metal
机器	jīqì	5	machine
肌肉	jīròu	5	muscle; flesh
计算	jìsuàn	5	to count; to calculate; to compute
集体	jítǐ	5	collective (decision); joint (effort); a group; a team
救	jiù	5	to save; to assist; to rescue
酒吧	jiǔbā	5	bar; pub; saloon
救护车	jiùhùchē	5	ambulance
舅舅	jiùjiu	5	mother's brother; maternal uncle (informal)
记忆	jìyì	5	to remember; to recall; memory
集中	jízhōng	5	to concentrate; to centralize; to focus; centralized
举	jǔ	5	to lift; to hold up; to cite; to enumerate
卷	juàn	5	scroll; book; volume; chapter
捐	juān	5	to relinquish; to abandon; to contribute; to donate; (bound form) tax; levy
具备	jùbèi	5	to possess; to have; equipped with; able to fulfill (conditions or requirements)
巨大	jùdà	5	huge; immense; very large; tremendous
绝对	juéduì	5	absolute; unconditional
决赛	juésài	5	finals (of a competition)
角色	juésè	5	role; character in a novel; persona; also pr. [jiǎo sè]
决心	juéxīn	5	determination; resolution; determined; firm and resolute
聚会	jùhuì	5	party; gathering; to meet; to get together
俱乐部	jùlèbù	5	club (the organisation or its premises) (loanword)
军事	jūnshì	5	military affairs; (attributive) military
均匀	jūnyún	5	even; well-distributed; homogeneous; well-proportioned (figure, body etc)
居然	jūrán	5	unexpectedly; to one's surprise; go so far as to
据说	jùshuō	5	it is said that; reportedly
具体	jùtǐ	5	concrete; definite; specific
桔子	júzi	5	tangerine; also written 橘子
卡车	kǎchē	5	truck
开发	kāifā	5	to exploit (a resource); to open up (for development); to develop
开放	kāifàng	5	to bloom; to open; to be open (to the public); to open up (to the outside)
开幕式	kāimùshì	5	opening ceremony
开心	kāixīn	5	to feel happy; to rejoice; to have a great time; to make fun of sb
砍	kǎn	5	to chop; to cut down; to throw sth at sb
看不起	kànbuqǐ	5	to look down upon; to despise
