# hanzi	nghĩa tiếng Việt	pinyin (ghi đè)	nghĩa Anh (ghi đè)
岁	tuổi
艰巨	gian nan, nặng nề
坚决	kiên quyết
艰苦	gian khổ
建立	xây dựng, thiết lập
简历	sơ yếu lý lịch, CV
键盘	bàn phím
坚强	kiên cường
尖锐	sắc bén, gay gắt
建设	xây dựng
健身房	phòng gym
建议	đề nghị, kiến nghị
简直	quả thực, đúng là
建筑	kiến trúc, xây dựng
浇	tưới
教材	giáo trình
角度	góc độ
狡猾	xảo quyệt
交换	trao đổi
交际	giao tiếp
教练	huấn luyện viên
郊区	ngoại ô
胶水	keo dán
教训	bài học; dạy dỗ
假如	giả như, nếu
驾驶	lái (xe)
家庭	gia đình
家务	việc nhà
家乡	quê hương
价值	giá trị
假装	giả vờ
夹子	cái kẹp
基本	cơ bản
节	tiết, đốt; lễ
届	khóa, kỳ
接触	tiếp xúc
接待	tiếp đón
阶段	giai đoạn
解放	giải phóng
结构	kết cấu
结合	kết hợp
接近	tiếp cận, gần
借口	cớ, lý do thoái thác
结论	kết luận
节省	tiết kiệm
结实	chắc chắn, rắn rỏi
解说员	bình luận viên
戒烟	bỏ thuốc
结账	thanh toán
接着	tiếp theo
戒指	nhẫn
及格	đạt, đỗ
激烈	kịch liệt, gay gắt
记录	ghi chép, kỷ lục
纪录	kỷ lục
纪律	kỷ luật
急忙	vội vàng
寂寞	cô đơn
紧	chặt, gấp
进步	tiến bộ
近代	cận đại
敬爱	kính yêu
经典	kinh điển
精力	sức lực, tinh lực
景色	cảnh sắc
经营	kinh doanh
纪念	kỷ niệm
紧急	khẩn cấp
进口	nhập khẩu
尽力	cố hết sức
尽量	cố gắng hết mức
谨慎	cẩn trọng
金属	kim loại
机器	máy móc
肌肉	cơ bắp
计算	tính toán
集体	tập thể
救	cứu
酒吧	quán bar
救护车	xe cứu thương
舅舅	cậu
记忆	trí nhớ, ký ức
集中	tập trung
举	giơ, nâng
卷	cuộn; quyển
捐	quyên góp
具备	có đủ
巨大	to lớn
绝对	tuyệt đối
决赛	chung kết
角色	vai, nhân vật
决心	quyết tâm
聚会	tụ tập, họp mặt
俱乐部	câu lạc bộ
军事	quân sự
均匀	đều
居然	lại, không ngờ
据说	nghe nói
具体	cụ thể
桔子	quýt
卡车	xe tải
开发	khai thác, phát triển
开放	mở cửa
开幕式	lễ khai mạc
开心	vui vẻ
砍	chặt
看不起	coi thường
抗议	kháng nghị, phản đối
看来	xem ra
烤鸭	vịt quay
克	gam
颗	viên, hạt (lượng từ)
课程	khóa học, chương trình học
克服	khắc phục
客观	khách quan
可见	có thể thấy
可靠	đáng tin cậy
刻苦	chăm chỉ chịu khó
可怕	đáng sợ
客厅	phòng khách
恐怖	khủng bố, kinh hoàng
空间	không gian
空闲	rảnh rỗi
控制	khống chế, kiểm soát
口味	khẩu vị
夸	khen; khoác lác
会计	kế toán
矿泉水	nước khoáng
来自	đến từ
辣椒	ớt
拦	chặn
烂	nát, thối
狼	sói
老百姓	dân thường
老板	ông chủ
劳动	lao động
劳驾	làm ơn, phiền
姥姥	bà ngoại
老实	thật thà
老鼠	chuột
蜡烛	nến
乐观	lạc quan
雷	sấm
类	loại
梨	lê
粒	hạt
恋爱	yêu đương
良好	tốt
粮食	lương thực
联合	liên hợp, liên kết
连忙	vội vàng
连续剧	phim dài tập
了不起	tuyệt vời, giỏi
礼拜天	Chủ nhật
立方	lập phương, khối
离婚	ly hôn
立即	lập tức
立刻	ngay lập tức
力量	sức mạnh
理论	lý luận
厘米	xăng-ti-mét
铃	chuông
领导	lãnh đạo
灵活	linh hoạt
零件	linh kiện
零钱	tiền lẻ
零食	đồ ăn vặt
领域	lĩnh vực
临时	tạm thời
利润	lợi nhuận
流传	lưu truyền
浏览	lướt xem
利息	lãi
利益	lợi ích
利用	lợi dụng, tận dụng
理由	lý do
龙	rồng
漏	rò rỉ, bỏ sót
露	lộ; sương
陆地	đất liền
轮流	luân phiên
论文	luận văn
落后	lạc hậu
逻辑	logic
录取	tuyển, nhận
陆续	lần lượt
录音	ghi âm
骂	mắng
麦克风	micro
