# hanzi	nghĩa tiếng Việt	pinyin (ghi đè)	nghĩa Anh (ghi đè)
清理	dọn dẹp, thanh lý
请示	xin chỉ thị
请帖	thiệp mời
倾听	lắng nghe
清晰	rõ nét
倾向	khuynh hướng
倾斜	nghiêng
情形	tình hình
清醒	tỉnh táo
清真	Hồi giáo, halal
勤俭	cần kiệm
勤恳	cần mẫn
钦佩	khâm phục
亲热	thân mật
亲身	đích thân
旗袍	sườn xám
欺骗	lừa dối
气魄	khí phách
齐全	đầy đủ
气色	sắc mặt
歧视	kỳ thị
气势	khí thế
启示	gợi mở, khai sáng
启事	thông báo, cáo thị
丘陵	đồi
期望	kỳ vọng
气味	mùi
期限	thời hạn
气象	khí tượng
齐心协力	đồng tâm hiệp lực
气压	khí áp
起义	khởi nghĩa
岂有此理	thật vô lý
起源	khởi nguồn
旗帜	cờ, ngọn cờ
犬	chó
权衡	cân nhắc
全局	toàn cục
全力以赴	dốc toàn lực
圈套	cạm bẫy
拳头	nắm đấm
权威	quyền uy, uy tín
权益	quyền lợi
渠道	kênh, con đường
取缔	cấm, dẹp bỏ
瘸	què
确保	đảm bảo
缺口	lỗ hổng, thiếu hụt
确立	xác lập
确切	xác đáng, chính xác
缺席	vắng mặt
缺陷	khiếm khuyết
确信	tin chắc
区分	phân biệt
屈服	khuất phục
群众	quần chúng
趣味	thú vị, hứng thú
区域	khu vực
曲折	quanh co, trắc trở
驱逐	trục xuất
曲子	bài hát, khúc nhạc
染	nhuộm; nhiễm
让步	nhượng bộ
扰乱	quấy rối, gây rối
饶恕	tha thứ
惹祸	gây họa
热泪盈眶	rưng rưng nước mắt
热门	hot, được ưa chuộng
仁慈	nhân từ
人道	nhân đạo
认定	xác định, nhận định
人格	nhân cách
仍旧	vẫn như cũ
人工	nhân công, nhân tạo
人家	người ta
人间	nhân gian
认可	công nhận
任命	bổ nhiệm
忍耐	nhẫn nại
人士	nhân sĩ
忍受	chịu đựng
人为	do con người
人性	nhân tính
任性	tùy hứng, bướng bỉnh
任意	tùy ý
人质	con tin
任重道远	trách nhiệm nặng nề đường xa
日新月异	thay đổi từng ngày
日益	ngày càng
溶解	hòa tan
容貌	dung mạo
容纳	chứa đựng, dung nạp
容器	đồ đựng
融洽	hòa hợp
容忍	dung thứ, chịu đựng
揉	xoa, vò
柔和	dịu dàng
弱点	điểm yếu
若干	một số
撒谎	nói dối
腮	má
散布	rải rác, phát tán
散发	tỏa ra, phát
丧失	mất đi
三角	tam giác
散文	tản văn
嫂子	chị dâu
色彩	sắc thái, màu sắc
啥	gì
刹车	phanh
筛选	sàng lọc
擅长	giỏi về, sở trường
商标	thương hiệu, nhãn hiệu
上级	cấp trên
上进心	chí tiến thủ
伤脑筋	đau đầu, nhức óc
上任	nhậm chức
上瘾	nghiện
上游	thượng nguồn
山脉	dãy núi
闪烁	lấp lánh
擅自	tự ý
哨	còi
捎	mang giúp, gửi
梢	ngọn, đầu mút
奢侈	xa xỉ
涉及	liên quan đến
设立	thành lập
深奥	sâu xa, thâm thúy
申报	khai báo
审查	thẩm tra
深沉	sâu lắng, thâm trầm
盛	thịnh, hưng thịnh
盛产	sản xuất nhiều
牲畜	gia súc
生存	sinh tồn
胜负	thắng thua
省会	tỉnh lỵ
生机	sức sống
盛开	nở rộ
生理	sinh lý
声明	tuyên bố
盛情	thịnh tình
声势	thanh thế
生疏	lạ lẫm, không quen
生态	sinh thái
生物	sinh vật
生效	có hiệu lực
盛行	thịnh hành
生锈	gỉ sét
生育	sinh đẻ
声誉	danh tiếng
审理	xét xử
审美	thẩm mỹ
审判	xét xử, thẩm phán
神奇	thần kỳ
神气	kiêu hãnh, vẻ mặt
神情	thần sắc
深情厚谊	tình sâu nghĩa nặng
神色	sắc mặt
神圣	thần thánh, thiêng liêng
绅士	quý ông
神态	thần thái
渗透	thấm, thâm nhập
神仙	thần tiên
呻吟	rên rỉ
慎重	thận trọng
摄取	hấp thụ
社区	khu dân cư, cộng đồng
摄氏度	độ C
设想	hình dung, dự tính
设置	thiết lập, cài đặt
拾	nhặt
势必	tất sẽ
识别	nhận dạng
时差	lệch múi giờ
时常	thường xuyên
世代	thế hệ, đời đời
时而	thỉnh thoảng
示范	làm mẫu
师范	sư phạm
释放	phóng thích, giải phóng
是非	phải trái, thị phi
事故	tai nạn, sự cố
时光	thời gian
实惠	thực tế có lợi, giá hời
时机	thời cơ
事迹	sự tích
施加	gây (áp lực)
事件	sự kiện
世界观	thế giới quan
实力	thực lực
势力	thế lực
视力	thị lực
使命	sứ mệnh
时事	thời sự
实施	thực thi
逝世	qua đời
实事求是	thực sự cầu thị
事态	tình hình sự việc
尸体	thi thể
试图	cố gắng, thử
示威	biểu tình
事务	sự vụ, công việc
失误	sai sót
视线	tầm nhìn
事项	hạng mục, điều khoản
试验	thí nghiệm
事业	sự nghiệp
视野	tầm nhìn
适宜	thích hợp
示意	ra hiệu
