# tatoeba id	bản dịch tiếng Việt
847830	Tôi bỏ quên nó trong gara.
848190	Kelly phụ trách bộ phận tin tức.
848216	Tháng trước tôi đã đổi địa chỉ.
848262	Tôi muốn bạn làm việc chăm chỉ hơn.
848434	Anh ấy làm việc ở văn phòng phúc lợi.
848440	Tôi chưa bao giờ nghe cô ấy hát.
848448	Anh ta đối xử với tôi như nô lệ.
848532	Anh ấy gửi cho tôi một tấm thiệp sinh nhật.
848534	Anh ấy đã đến thăm nhiều quốc gia châu Á.
848546	Anh ấy miễn cưỡng đồng ý với đề nghị của tôi.
848552	Tôi nghe thấy chuông cửa trước reo.
848554	Anh ấy là người rất chu đáo.
848559	Khi bố mẹ tôi ở đây, xin hãy giữ lịch sự trong lời nói.
848574	Nhà anh ấy ở đối diện nhà tôi.
848577	Lúc đầu tôi không hiểu anh ấy nói gì.
848580	Tôi không thể gập tay phải của mình.
848588	Anh ấy làm việc cho một công ty quảng cáo.
848592	Anh ấy được đặt tên theo ông nội.
848596	Con trai anh ấy bị đuổi khỏi trường.
848626	Anh ấy đã ghi lại số điện thoại đó.
848652	Tôi đã giải thích quá trình đó cho anh ấy.
848673	Thật ra anh ấy chưa từng đến Mỹ.
848699	Chồng cô ấy là đầu bếp giỏi.
848701	Công việc của bạn tiến triển thế nào?
848723	Tôi bảo anh ấy xách vali.
848755	Đôi khi anh ấy nấu bữa tối cho chúng tôi.
848768	Tôi không thể nhấc tay phải lên.
848828	Anh ấy không thèm nhìn đề nghị của tôi.
848965	Chắc chắn anh ấy sẽ nhận ra lỗi của bạn.
848969	Anh ấy bắt đầu hói từ khi còn rất trẻ.
848971	Tôi thấy chiếc giường này khá thoải mái.
848972	Bố mẹ bạn hòa thuận với nhau thế nào?
849259	Anh ấy đi Nagoya vì công việc.
849530	Một đôi đũa đỏ bị gãy.
849812	Tôi thường ăn sáng nhẹ.
849822	Cô ấy nhìn thấy mình trong gương.
849965	Cô ấy mệt đến mức không thể bước đi.
850111	Tôi làm việc cho một công ty vận tải biển.
850117	Chúng ta thay nhau chèo thuyền nhé.
850120	Ông tôi sống đến chín mươi tuổi.
850125	Tôi thường mặc quần bò vào Chủ nhật.
850131	Jane muốn một cây kem ốc quế.
850301	John và Ann thích nhau.
850314	Phanh có vấn đề.
850364	Cô ấy lại làm hỏng máy nướng bánh mì rồi.
850376	Bố tôi đang quét dọn gara.
850379	Tôi có thể vào nhà vệ sinh không?
