# hanzi	nghĩa tiếng Việt	pinyin (ghi đè)	nghĩa Anh (ghi đè)
隔离	cách ly
耕地	đất canh tác
更新	cập nhật, đổi mới
更正	đính chính
跟前	trước mặt, bên cạnh
根深蒂固	thâm căn cố đế
跟随	đi theo
根源	căn nguyên
跟踪	theo dõi, bám theo
格式	định dạng, khuôn mẫu
各抒己见	mỗi người nêu ý kiến riêng
歌颂	ca ngợi
个体	cá thể
公安局	cục công an
供不应求	cung không đủ cầu
公道	công bằng, công đạo
宫殿	cung điện
工夫	thời gian; công phu
公告	thông cáo
巩固	củng cố
公关	quan hệ công chúng
共和国	nước cộng hòa
共计	tổng cộng
供给	cung cấp
攻击	tấn công, công kích
恭敬	cung kính
功课	bài vở, bài tập
攻克	đánh chiếm, khắc phục
功劳	công lao
公民	công dân
共鸣	đồng cảm, cộng hưởng
公婆	bố mẹ chồng
公然	công khai, ngang nhiên
公认	được công nhận
公式	công thức
公务	công vụ
功效	công hiệu
工艺品	đồ thủ công mỹ nghệ
公正	công chính, công bằng
公证	công chứng
勾结	cấu kết
构思	cấu tứ, hình thành ý tưởng
钩子	cái móc
拐杖	gậy chống, nạng
罐	lon, hũ
贯彻	quán triệt
官方	chính thức, phía chính quyền
灌溉	tưới tiêu
光彩	rực rỡ; vẻ vang
光辉	huy hoàng
广阔	rộng lớn
光芒	tia sáng
观光	tham quan
惯例	thông lệ
管辖	quản hạt, quản lý
关照	chiếu cố, chăm nom
鼓动	kích động, cổ động
古董	đồ cổ
股东	cổ đông
孤独	cô độc
股份	cổ phần
辜负	phụ lòng
骨干	nòng cốt
古怪	kỳ quái
跪	quỳ
轨道	quỹ đạo, đường ray
规范	quy phạm, chuẩn mực
规格	quy cách
归根到底	suy cho cùng
规划	quy hoạch
归还	trả lại
归纳	quy nạp
规章	quy chế
贵族	quý tộc
孤立	cô lập
顾虑	lo ngại
棍棒	gậy gộc
过度	quá độ, quá mức
过渡	quá độ, chuyển tiếp
果断	quả quyết
国防	quốc phòng
过奖	quá khen
过滤	lọc
过失	lỗi lầm
过问	hỏi đến, can dự
国务院	Quốc vụ viện
过瘾	đã, thỏa mãn
过于	quá
姑且	tạm thời, hãy cứ
固然	cố nhiên, dĩ nhiên
顾问	cố vấn
故乡	quê hương
固有	vốn có
故障	sự cố, hỏng hóc
固执	cố chấp
嗨	chào; ôi
海拔	độ cao so với mực nước biển
海滨	bờ biển
航空	hàng không
行列	hàng ngũ
航天	hàng không vũ trụ
航行	đi (tàu, thuyền), bay
含糊	mơ hồ, qua loa
罕见	hiếm thấy
捍卫	bảo vệ
寒暄	hỏi han xã giao
含义	hàm ý, ý nghĩa
耗费	hao phí
好客	hiếu khách
豪迈	hào sảng
毫米	mi-li-mét
毫无	hoàn toàn không
号召	kêu gọi
呵	a, ha
和蔼	hiền hòa
合并	sáp nhập
合成	tổng hợp
合乎	phù hợp với
合伙	hợp tác, chung vốn
嘿	này
和解	hòa giải
和睦	hòa thuận
恨不得	ước gì, hận không thể
哼	hừ; ngân nga
痕迹	dấu vết
狠心	nhẫn tâm
和气	hòa nhã
合身	vừa người
合算	có lợi, đáng
和谐	hài hòa
哄	dỗ dành	hǒng	to coax; to humor
烘	hong, sấy
红包	lì xì, phong bì đỏ
轰动	gây chấn động
宏观	vĩ mô
洪水	lũ lụt
宏伟	hùng vĩ
吼	gầm, gào
后代	hậu thế, con cháu
后顾之忧	nỗi lo ở nhà
喉咙	cổ họng
后勤	hậu cần
候选	ứng cử
花瓣	cánh hoa
化肥	phân hóa học
划分	phân chia
怀孕	mang thai
华丽	hoa lệ
黄昏	hoàng hôn
荒凉	hoang vắng
慌忙	vội vàng
荒谬	hoang đường
恍然大悟	chợt tỉnh ngộ
荒唐	hoang đường, phi lý
缓和	hòa hoãn, dịu bớt
环节	khâu, mắt xích
欢乐	vui vẻ
还原	hoàn nguyên, khôi phục
患者	bệnh nhân
华侨	Hoa kiều
画蛇添足	vẽ rắn thêm chân
化石	hóa thạch
话筒	micro; ống nghe
化验	xét nghiệm
化妆	trang điểm
回报	đền đáp, báo đáp
汇报	báo cáo
回避	né tránh
回顾	nhìn lại
悔恨	hối hận
辉煌	huy hoàng
挥霍	hoang phí
贿赂	hối lộ
毁灭	hủy diệt
回收	thu hồi, tái chế
会晤	hội kiến
互联网	Internet
忽略	bỏ qua, xem nhẹ	hūlüè
胡乱	bừa bãi
混合	hỗn hợp, trộn
混乱	hỗn loạn
昏迷	hôn mê
浑身	toàn thân
混淆	lẫn lộn
混浊	đục, vẩn đục
货币	tiền tệ
活该	đáng đời
火箭	tên lửa
活力	sức sống
或许	có lẽ
火焰	ngọn lửa
火药	thuốc súng
湖泊	hồ
呼啸	gào rít
呼吁	kêu gọi
家常	chuyện nhà, thường ngày
加工	gia công
家伙	gã, tên; đồ vật
加剧	gia tăng, trầm trọng thêm
溅	bắn tung tóe
拣	chọn, nhặt
鉴别	giám định, phân biệt
剪彩	cắt băng khánh thành
间谍	gián điệp
鉴定	giám định
坚定	kiên định
监督	giám sát
尖端	mũi nhọn, tiên tiến
见多识广	từng trải, hiểu rộng
桨	mái chèo
间隔	khoảng cách, cách quãng
将近	gần, sắp
将军	tướng quân
奖励	khen thưởng
降临	giáng lâm, đến
奖赏	ban thưởng
坚固	kiên cố
僵硬	cứng đờ
简化	đơn giản hóa
见解	kiến giải, quan điểm
间接	gián tiếp
简陋	sơ sài, đơn sơ
艰难	gian nan
健全	kiện toàn, lành mạnh
坚韧	kiên cường, dẻo dai
坚实	vững chắc
监视	giám sát, theo dõi
践踏	giày xéo
检讨	kiểm điểm
舰艇	tàu chiến
简体字	chữ giản thể
见闻	điều tai nghe mắt thấy
检验	kiểm nghiệm
简要	ngắn gọn
坚硬	cứng rắn
见义勇为	thấy việc nghĩa dũng cảm làm
鉴于	xét thấy
监狱	nhà tù
兼职	kiêm nhiệm, làm thêm
搅拌	khuấy, trộn
交叉	giao nhau, chéo
交代	bàn giao; dặn dò; khai
焦点	tiêu điểm
焦急	sốt ruột
较量	so tài
角落	góc
缴纳	nộp
娇气	yếu ớt, õng ẹo
交涉	đàm phán, giao thiệp
交往	giao lưu, qua lại
教养	giáo dưỡng, sự dạy dỗ
交易	giao dịch
假设	giả thiết
