# hanzi	nghĩa tiếng Việt	pinyin (ghi đè)	nghĩa Anh (ghi đè)
恐怕	e rằng, sợ rằng
空气	không khí
苦	đắng; khổ, vất vả
宽	rộng
困	buồn ngủ; khốn khó
困难	khó khăn
扩大	mở rộng
辣	cay
拉	kéo; chơi (đàn kéo)
来不及	không kịp
来得及	còn kịp
垃圾桶	thùng rác
懒	lười
浪费	lãng phí
浪漫	lãng mạn
老虎	con hổ
冷静	bình tĩnh
俩	hai (người)
连	ngay cả; liền, nối
亮	sáng
凉快	mát mẻ
联系	liên hệ, liên lạc
聊天	trò chuyện, tán gẫu
理发	cắt tóc
厉害	lợi hại, giỏi; ghê gớm
理解	hiểu, lý giải
礼貌	lễ phép, lịch sự
另外	ngoài ra; khác
力气	sức lực
例如	ví dụ như
留	ở lại; để lại; giữ lại
流泪	rơi nước mắt
流利	lưu loát
流行	thịnh hành, phổ biến
留学	du học
理想	lý tưởng
乱	lộn xộn, loạn
律师	luật sư
麻烦	phiền phức, làm phiền
马虎	qua loa, cẩu thả
满	đầy
毛巾	khăn mặt
美丽	xinh đẹp
梦	giấc mơ
免费	miễn phí
密码	mật khẩu
民族	dân tộc
目的	mục đích
母亲	mẹ, mẫu thân
耐心	kiên nhẫn
难道	chẳng lẽ, lẽ nào
难受	khó chịu
内	trong, nội
内容	nội dung
能力	năng lực
年龄	tuổi
弄	làm, xử lý
农村	nông thôn
暖和	ấm áp
偶尔	thỉnh thoảng
排列	sắp xếp
判断	phán đoán
陪	đi cùng, ở bên
骗	lừa, lừa gạt
篇	bài (lượng từ bài văn)
皮肤	da
乒乓球	bóng bàn
平时	bình thường, ngày thường
瓶子	chai, lọ
批评	phê bình
脾气	tính khí, tính nết
破	rách, hỏng, vỡ
普遍	phổ biến
墙	tường
千万	nhất định, ngàn vạn lần; mười triệu
签证	visa, thị thực
桥	cầu
敲	gõ
巧克力	sô-cô-la
其次	thứ đến, tiếp theo
起飞	cất cánh
气候	khí hậu
起来	lên; bắt đầu (bổ ngữ)
轻	nhẹ
请假	xin nghỉ phép
请客	mời khách, đãi khách
情况	tình hình
轻松	thoải mái, nhẹ nhàng
亲戚	họ hàng
穷	nghèo
其中	trong đó
取	lấy
全部	toàn bộ, tất cả
区别	khác biệt, phân biệt
却	nhưng, lại
缺点	khuyết điểm
缺少	thiếu
确实	quả thực, đích thực
群	đám, bầy, nhóm
然而	tuy nhiên
热闹	náo nhiệt
扔	ném, vứt
仍然	vẫn, vẫn còn
任何	bất kỳ
人民币	Nhân dân tệ
任务	nhiệm vụ
日记	nhật ký
软	mềm
入口	lối vào
散步	đi dạo
森林	rừng
沙发	ghế sofa
商量	bàn bạc
伤心	đau lòng, buồn
稍微	hơi, một chút
社会	xã hội
深	sâu
剩	thừa, còn lại
省	tỉnh; tiết kiệm
生活	cuộc sống, sinh hoạt
生命	sinh mệnh, sự sống
申请	xin, đăng ký, đơn xin
甚至	thậm chí
试	thử
失败	thất bại
市场	thị trường, chợ
十分	rất, vô cùng
师傅	sư phụ, thầy; bác (thợ, tài xế)
适合	phù hợp
实际	thực tế
世纪	thế kỷ
食品	thực phẩm
湿润	ẩm ướt
失望	thất vọng
适应	thích ứng, thích nghi
使用	sử dụng
实在	thực sự, quả thực
狮子	sư tử	shīzi	lion
收	nhận, thu
受不了	không chịu nổi
受到	nhận được, bị, chịu
首都	thủ đô
售货员	nhân viên bán hàng
收入	thu nhập
收拾	thu dọn, dọn dẹp
首先	trước hết, đầu tiên
输	thua; vận chuyển
帅	đẹp trai	shuài	handsome; smart
数量	số lượng
顺便	tiện thể
顺利	thuận lợi
顺序	thứ tự, trình tự
说明	giải thích, thuyết minh
硕士	thạc sĩ
熟悉	quen thuộc
数字	con số, chữ số
死	chết
算	tính; coi như
酸	chua; mỏi
速度	tốc độ
随便	tùy ý, tùy tiện
随着	theo, cùng với
塑料袋	túi ni lông
孙子	cháu trai (nội)
所有	tất cả, mọi
台	chiếc, cái (máy); đài, bục
抬	nâng, khiêng
态度	thái độ
弹	đàn, gảy
谈	nói chuyện, bàn
趟	chuyến, lần
躺	nằm
汤	canh, súp
讨论	thảo luận
讨厌	ghét, đáng ghét
特点	đặc điểm
填空	điền vào chỗ trống
条件	điều kiện
提供	cung cấp
挺	khá, rất
停止	dừng lại
提前	trước thời hạn, sớm hơn
提醒	nhắc nhở
通过	thông qua; qua
同情	đồng cảm, thông cảm
通知	thông báo
推	đẩy
推迟	hoãn lại
脱	cởi
网球	quần vợt, tennis
往往	thường, thường hay
网站	trang web
完全	hoàn toàn
袜子	tất, vớ
味道	mùi vị
危险	nguy hiểm
温度	nhiệt độ
文章	bài văn, bài viết
握手	bắt tay
无	không, không có
误会	hiểu lầm
无聊	buồn chán, vô vị
无论	bất luận, dù
污染	ô nhiễm
咸	mặn	xián	salty
现代	hiện đại
响	vang, kêu
香	thơm
相反	ngược lại, trái lại
详细	chi tiết, tỉ mỉ
羡慕	ngưỡng mộ, ghen tị
限制	hạn chế
效果	hiệu quả
笑话	chuyện cười
小说	tiểu thuyết
消息	tin tức
西红柿	cà chua
行	được; đi
醒	tỉnh dậy
性别	giới tính
兴奋	hưng phấn, phấn khích
幸福	hạnh phúc
性格	tính cách
辛苦	vất vả
心情	tâm trạng
信任	tin tưởng
信心	niềm tin, lòng tin
信用卡	thẻ tín dụng
修	sửa, sửa chữa
洗衣机	máy giặt
吸引	thu hút
许多	nhiều
血	máu
呀	a, nhỉ (trợ từ)
牙膏	kem đánh răng
压力	áp lực
盐	muối
演出	biểu diễn
养成	hình thành, tạo thành (thói quen)
严格	nghiêm khắc
阳光	ánh nắng
样子	dáng vẻ, hình dáng
研究生	nghiên cứu sinh
演员	diễn viên
严重	nghiêm trọng
邀请	mời
钥匙	chìa khóa
亚洲	châu Á
页	trang
也许	có lẽ
叶子	lá cây
亿	trăm triệu
以	lấy, dùng; để
意见	ý kiến
因此	vì vậy
赢	thắng
硬	cứng
饮料	đồ uống
引起	gây ra, dẫn đến
印象	ấn tượng
一切	tất cả, mọi thứ
艺术	nghệ thuật
勇敢	dũng cảm
永远	mãi mãi
由	do, bởi
优点	ưu điểm
友好	hữu nghị, thân thiện
幽默	hài hước
尤其	đặc biệt là, nhất là
有趣	thú vị
优秀	ưu tú, xuất sắc
友谊	tình bạn
由于	do, bởi vì
与	và, với
圆	tròn
原来	hóa ra; ban đầu
原谅	tha thứ
原因	nguyên nhân
阅读	đọc
约会	hẹn hò, cuộc hẹn
语法	ngữ pháp
愉快	vui vẻ
羽毛球	cầu lông
允许	cho phép
于是	thế là
预习	học trước, chuẩn bị bài
语言	ngôn ngữ
脏	bẩn
咱们	chúng ta
暂时	tạm thời
杂志	tạp chí
增加	tăng thêm
增长	tăng trưởng
责任	trách nhiệm
窄	hẹp
招聘	tuyển dụng
正常	bình thường
正好	vừa đúng, vừa hay
整理	sắp xếp, chỉnh lý
证明	chứng minh
整齐	ngay ngắn, gọn gàng
正确	chính xác, đúng
正式	chính thức
真正	thực sự, chân chính
指	chỉ; ngón tay
之	của (văn ngôn)
支持	ủng hộ
值得	đáng, đáng giá
只好	đành phải
直接	trực tiếp
质量	chất lượng
至少	ít nhất
知识	kiến thức, tri thức
植物	thực vật
只要	chỉ cần
职业	nghề nghiệp
制造	chế tạo
重点	trọng điểm
重视	coi trọng
中文	tiếng Trung
周围	xung quanh
猪	lợn, heo
撞	đâm, va
专门	chuyên môn, chuyên
专业	chuyên ngành
主动	chủ động
祝贺	chúc mừng
逐渐	dần dần
著名	nổi tiếng
准确	chính xác
准时	đúng giờ
主意	ý kiến, chủ ý
自然	tự nhiên
仔细	kỹ càng, cẩn thận
总结	tổng kết
租	thuê
